	16_S3.tab	17_S4.tab	18_S1.tab	19_S2.tab	21_S3.tab	23_S3.tab	24_S2.tab	27_S1.tab	28_S4.tab	30_S3.tab	34_S1.tab	35_S4.tab	36_S1.tab	38_S2.tab	40_S2.tab	42_S3.tab	44_S3.tab	45_S1.tab	46_S4.tab	47_S4.tab	51_S2.tab	54_S4.tab	5_S1.tab	8_S2.tab
	5.00	6.00	2.00	10.00	4.00	13.00	16.00	0	5.00	8.00	1.00	3.00	3.00	9.00	0	17.00	3.00	22.00	0	5.00	2.00	1.00	2.00	3.00
(2E,6E)-farnesyl diphosphate synthase	0	0	0	0	1.00	1.00	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	2.00	0	0	1.00	0
(2E,6E)-farnesyl- diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2Fe-2S) ferredoxin	0	0	0	0	0	2.00	7.00	0	0	2.00	0	1.00	0	3.00	0	0	0	2.00	0	2.00	0	0	0	0
(2Fe-2S)-binding protein	6.00	2.00	0	2.00	2.00	5.00	9.00	0	3.00	8.00	1.00	1.00	1.00	4.00	1.00	4.00	0	11.00	0	5.00	0	1.00	1.00	2.00
(2Fe-2S)-binding protein, partial	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0
(Fe-S)-binding protein	0	0	0	0	0	2.00	1.00	0	0	4.00	3.00	0	0	2.00	0	2.00	0	4.00	0	0	1.00	0	0	0
(Fe-S)-binding protein, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
(R)-2-hydroxyacid dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
(R)-citramalate synthase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(R,R)-butanediol dehydrogenase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(S)-ureidoglycine aminohydrolase	0	0	0	0	0	0	1.00	0	1.00	1.00	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0
(deoxy)nucleoside triphosphate pyrophosphohydrolase	0	0	0	0	0	1.00	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
(p)ppGpp synthetase	0	0	0	0	0	0	3.00	0	0	3.00	0	0	0	1.00	0	0	0	6.00	0	0	0	0	0	0
1,2-phenylacetyl-CoA epoxidase subunit A	0	0	0	0	0	2.00	1.00	0	2.00	0	0	1.00	1.00	4.00	0	0	0	2.00	0	1.00	0	0	0	0
1,3-beta-glucanase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-alpha-glucan branching enzyme	3.00	0	0	9.00	3.00	5.00	8.00	1.00	0	3.00	4.00	2.00	1.00	11.00	0	3.00	0	7.00	0	0	0	2.00	0	1.00
1,4-alpha-glucan branching protein	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-alpha-glucan-branching protein	0	0	0	0	0	1.00	3.00	0	0	1.00	0	1.00	0	1.00	0	1.00	0	2.00	0	1.00	0	0	0	0
1,4-beta-D-glucan glucohydrolase	3.00	0	0	0	0	0	1.00	0	0	1.00	0	1.00	0	1.00	0	1.00	0	3.00	0	0	0	0	0	0
1,4-beta-D-glucan glucohydrolase, partial	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,4-beta-xylanase	0	0	0	0	0	1.00	1.00	0	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0
1,4-butanediol diacrylate esterase	0	0	0	0	0	2.00	3.00	0	0	0	0	0	0	0	0	0	0	3.00	0	2.00	0	0	0	0
1,4-dihydroxy-2-naphthoate octaprenyltransferase	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
1,4-dihydroxy-2-naphthoate polyprenyltransferase	2.00	1.00	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0
1,4-dihydroxy-2-naphthoyl-CoA synthase	0	3.00	0	1.00	0	0	5.00	0	1.00	0	0	0	2.00	0	0	0	0	1.00	0	0	5.00	0	1.00	0
1,4-dihydroxy-6-naphthoate synthase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	2.00	0	1.00	0	0	0	0
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	0	0	0	0	0	2.00	2.00	0	0	3.00	0	1.00	0	0	0	0	0	3.00	0	1.00	0	0	0	0
1-(5-phosphoribosyl)-5	1.00	2.00	0	1.00	0	2.00	5.00	0	0	4.00	0	0	0	4.00	0	1.00	0	1.00	0	0	0	0	2.00	0
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	2.00	0	0	0	0	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase	0	0	0	0	0	5.00	26.00	0	2.00	15.00	1.00	1.00	0	4.00	2.00	8.00	1.00	13.00	1.00	0	0	0	0	1.00
1-alkyl-2-acetylglycerophosphocholine esterase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
1-aminocyclopropane-1-carboxylate deaminase	0	0	0	1.00	0	3.00	2.00	0	4.00	4.00	0	2.00	0	3.00	2.00	2.00	0	9.00	0	1.00	0	1.00	0	0
1-carboxy-3-chloro-3,4-dihydroxycyclo hexa-1,5-diene dehydrogenase	0	0	0	0	0	0	0	0	0	1.00	2.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0
1-deoxy-D-xylulose-5-phosphate reductoisomerase	2.00	2.00	2.00	3.00	0	2.00	11.00	0	3.00	4.00	0	1.00	2.00	10.00	1.00	4.00	0	9.00	0	1.00	0	0	0	1.00
1-deoxy-D-xylulose-5-phosphate synthase	7.00	3.00	1.00	2.00	0	6.00	24.00	0	2.00	18.00	0	3.00	3.00	5.00	0	9.00	1.00	16.00	0	2.00	0	0	0	0
1-deoxy-D-xylulose-5-phosphate synthase, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
1-phosphatidylinositol phosphodiesterase	0	0	1.00	2.00	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-phosphofructokinase	1.00	0	0	0	0	0	3.00	1.00	1.00	1.00	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0
1-pyrroline-5-carboxylate dehydrogenase	7.00	0	0	2.00	0	0	4.00	0	0	2.00	0	0	2.00	1.00	0	4.00	0	3.00	0	1.00	0	0	0	1.00
1-pyrroline-5-carboxylate dehydrogenase, partial	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
12-oxophytodienoate reductase	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	1.00	0	2.00	0	1.00	0	1.00	0	0	0	0
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	7.00	0	0	2.00	0	1.00	9.00	0	1.00	1.00	1.00	0	0	5.00	0	10.00	0	9.00	0	1.00	1.00	1.00	0	0
